Name,Type,Episodes,Studio,Tags,Rating,Release_year
Girls und Panzer das Finale: Part 1,Movie,,Actas,"Action, Military, Military School, School Club, School Life, Tournaments, Original Work",04.01,2017.0
Akame ga Kill!,TV,24.0,WHITE FOX,"Action, Fantasy, Shounen, Assassins, Dark Fantasy, Lifestyle Change, Rebellions, Urban Fantasy, Vigilantes, Based on a Manga, Explicit Violence",04.01,2014.0
Yuru Yuri San☆Hai!,TV,12.0,TYO Animations,"Comedy, GL, Seinen, Shoujo-ai, Slice of Life, School Club, School Life, Based on a Manga",04.01,2015.0
Alderamin on the Sky,TV,13.0,MADHOUSE,"Action, Fantasy, Seinen, Guns, Military, War, Based on a Light Novel",04.01,2016.0
Aria the Natural,TV,26.0,Hal Film Maker,"Sci Fi, Shounen, Slice of Life, Apprenticeship, Iyashikei, Ocean, Work Life, Based on a Manga",04.01,2006.0
Detective Conan Movie 7: Crossroad in the Ancient Capital,Movie,,TMS Entertainment,"Mystery, Shounen, Age Transformation, Detectives, Thieves, Based on a Manga",04.01,2003.0
Ghost Hunt,TV,25.0,J.C.Staff,"Horror, Shoujo, Curse, Detectives, Ghost Hunters, Supernatural, Based on a Light Novel",04.01,2006.0
The Daily Life of the Immortal King 2,Web,12.0,Haoliners Animation League,"Comedy, Fantasy, Chinese Animation, Cultivation, Overpowered Main Characters, School Life, Urban Fantasy, Based on a Web Novel",04.01,2021.0
Food Wars! The Fifth Plate,TV,13.0,J.C.Staff,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, Based on a Manga",04.01,2020.0
Love Live! The School Idol Movie,Movie,,Sunrise,"Idols, Music",04.01,2015.0
Hi Score Girl II,TV,,J.C.Staff,"Comedy, Seinen, Historical, Video Game Industry, Based on a Manga, CG Animation",04.01,2019.0
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,OVA,1.0,Sunrise,"Mecha, Sci Fi, Real Robot, Recap",04.01,2008.0
Baka and Test - Summon the Beasts 2,TV,13.0,SILVER LINK.,"Comedy, Chibi, Magic, Magic School, School Life, Based on a Light Novel",04.01,2011.0
Kakushigoto,TV,12.0,Ajia-do,"Comedy, Drama, Shounen, Slice of Life, Childcare, Manga Industry, Single Parent, Based on a Manga",04.01,2020.0
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,TV,12.0,Studio Palette,"Action, Fantasy, Assassins, Cheats, Dark Fantasy, Isekai, Magic, Modern Knowledge, Nobility, Person in a Strange World, Reincarnation, Based on a Light Novel, Explicit Violence",04.01,2021.0
Lupin III: The Castle of Cagliostro,Movie,,TMS Entertainment,"Action, Seinen, Criminals, Thieves, Based on a Manga",04.01,1979.0
Kuroko's Basketball OVA,OVA,1.0,Production I.G,"Comedy, Shounen, Sports, Basketball, School Life, Based on a Manga",04.01,2013.0
Macross Frontier,TV,25.0,SATELIGHT,"Action, Mecha, Romance, Sci Fi, Aliens, Idols, Love Triangle, Military, Music, Outer Space, Real Robot, Space Opera, Transforming Mecha, Original Work",04.01,2007.0
Nura: Rise of the Youkai Clan OVA,OVA,2.0,Studio DEEN,"Japanese Mythology, Youkai",04.01,2012.0
The Story of Saiunkoku,TV,39.0,MADHOUSE,"Drama, Fantasy, Reverse Harem, Romance, Shoujo, Political, Royalty, Social Gap, Based on a Light Novel",04.01,2006.0
"So I'm a Spider, So What?",TV,24.0,Millepensee,"Action, Adventure, Fantasy, Dungeon, Isekai, Monsters, Non-Human Protagonists, Reincarnation, RPG, Weak to Strong, Based on a Light Novel, Violence",04.01,2021.0
Mobile Suit Gundam Wing: Endless Waltz,OVA,3.0,Sunrise,"Action, Mecha, Sci Fi, Outer Space",04.01,1997.0
Legend of the Galactic Heroes: Spiral Labyrinth,OVA,28.0,Artland,"Drama, Sci Fi, Military, Outer Space, Political, Space Opera, War, Based on a Novel",04.01,1999.0
Golden Kamuy,TV,12.0,Geno Studio,"Adventure, Drama, Historical, Military, Treasure Hunters, Based on a Manga, Violence",04.01,2018.0
Major 2nd: Second Season,TV,25.0,OLM,"Sports, Baseball, Based on a Manga",04.01,2020.0
Sword Art Online,TV,25.0,A-1 Pictures,"Action, Adventure, Fantasy, Sci Fi, Dungeon, High Stakes Games, MMORPG, Overpowered Main Characters, PVE, PVP, RPG, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide",4.0,2012.0
Your lie in April: Moments,OVA,1.0,A-1 Pictures,"Drama, Shounen, Music, Tournaments, Based on a Manga",4.0,2015.0
Kengan Ashura 2,Web,12.0,LARX Entertainment,"Action, Drama, Hand to Hand Combat, Martial Arts, Tournaments, Based on a Manga, CG Animation, Explicit Violence,, Mature Themes,, Physical Abuse",4.0,2019.0
Detective Conan,TV,103.0,V1 Studio,"Drama, Mystery, Shounen, Age Transformation, Crime, Detectives, Episodic, Police, Secret Identity, Based on a Manga, Violence",4.0,1996.0
Detective Conan OVA 9: The Stranger of 10 Years,OVA,1.0,TMS Entertainment,"Shounen, Age Transformation, Detectives, School Life, Time Travel, Based on a Manga",4.0,2009.0
The Witcher: Nightmare of the Wolf,Web,1.0,Studio Mir,"Action, Fantasy, Dark Fantasy, Korean Animation, Magic, Medieval, Monsters, Based on a Novel, Explicit Violence,, Nudity",4.0,2021.0
"Clannad: Another World, Kyou Chapter",DVD S,,Kyoto Animation,"Drama, Romance, Based on a Visual Novel",4.0,2009.0
Tsukigakirei,TV,12.0,feel.,"Romance, Coming of Age, Iyashikei, Love Triangle, School Life, Original Work",4.0,2017.0
Radiant 2nd Season,TV,21.0,Lerche,"Action, Adventure, Fantasy, Based on a Manga",4.0,2019.0
My Senpai is Annoying,TV,12.0,Doga Kobo,"Comedy, Romance, Seinen, Adult Couples, Coworkers, Iyashikei, Mature Romance, Romantic Comedy, Salaryman, Work Life, Based on a Manga",4.0,2021.0
Dragon Ball,TV,153.0,Toei Animation,"Action, Adventure, Comedy, Shounen, Journey to the West, Martial Arts, Overpowered Main Characters, Based on a Manga, Nudity",4.0,1986.0
My Hero Academia: Make It! Do-or-Die Survival Training,Web,2.0,Bones,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga",4.0,2020.0
Slayers Try,TV,26.0,E&G Films,"Action, Adventure, Fantasy, Medieval, Based on a Light Novel",4.0,1997.0
Shouwa Genroku Rakugo Shinjuu OVA,OVA,2.0,Studio DEEN,"Drama, Josei, Apprenticeship, Historical, Lifestyle Change, Rakugo, Based on a Manga",4.0,2015.0
Code Geass: Lelouch of the Rebellion II - Transgression,Movie,,Sunrise,"Mecha, Sci Fi, Real Robot, Secret Identity, Terrorism, Original Work, Violence",4.0,2018.0
Hitorijime My Hero,TV,12.0,Encourage Films,"BL, Comedy, Drama, Romance, Shounen-ai, LGBT Themes, School Life, Student-Teacher Relationship, Based on a Manga",4.0,2017.0
Bleach,TV,366.0,Pierrot,"Action, Shounen, Afterlife, Shinigami, Supernatural, Superpowers, Swordplay, Based on a Manga, Violence",4.0,2004.0
Hikaru no Go: Journey to the North Star Cup,TV Sp,,Pierrot,"Shounen, Board Games, Ghosts, Supernatural, Tournaments, Based on a Manga",4.0,2004.0
K-On!!: Plan!,DVD S,,Kyoto Animation,"Comedy, Seinen, Slice of Life, Based on a 4-Koma Manga, Based on a Manga",4.0,2011.0
Pokemon: GOTCHA!,Music,,Bones,"Adventure, Fantasy, Monsters, Based on a Video Game",4.0,2020.0
Wushang Shen Di,Web,64.0,Ruo Hong Culture,"Action, Fantasy, Ancient China, Chinese Animation, Short Episodes, Based on a Web Novel, CG Animation",4.0,2020.0
Detective Conan Movie 9: Strategy Above the Depths,Movie,,TMS Entertainment,"Drama, Mystery, Shounen, Age Transformation, Detectives, Ocean, Based on a Manga",4.0,2005.0
Tentai Senshi Sunred 2,TV,26.0,AIC ASTA,"Comedy, Seinen, Gag, Monsters, Parody, Superheroes, Based on a Manga",4.0,2009.0
City Hunter 2,TV,63.0,Sunrise,"Action, Comedy, Drama, Shounen, Episodic, Guns, Based on a Manga",4.0,1988.0
Hidamari Sketch: Sae & Hiro's Graduation Arc,OVA,2.0,SHAFT,"Seinen, Slice of Life, Art, Art School, Boarding House, Neighbors, School Life, Based on a 4-Koma Manga, Based on a Manga",4.0,2013.0
Broken Blade Movie 1: The Time of Awakening,Movie,,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War",4.0,2010.0
Emma: A Victorian Romance - Second Act,TV,12.0,Ajia-do,"Drama, Romance, Seinen, 19th Century, Adult Couples, England, Europe, Historical, Maids, Mature Romance, Social Gap, Work Life, Based on a Manga",4.0,2007.0
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,OVA,1.0,Kyoto Animation,"Comedy, Shounen, Military, Submarine, Tsundere",4.0,2006.0
Planetarian Movie: Hoshi no Hito,Movie,,David Production,"Sci Fi, Androids, Astronomy, Dystopia, Non-Human Protagonists, Post-apocalyptic, Robots, Based on a Visual Novel",4.0,2016.0
Shadows House,TV,13.0,CloverWorks,"Drama, Horror, Seinen, Mansion, Supernatural, Based on a Manga",4.0,2021.0
The Tibetan Dog,Movie,,MADHOUSE,"Drama, Countryside, Dogs, Family Friendly, Pets, Original Work",4.0,2011.0
Okko's Inn Movie,Movie,,DLE,"Countryside, Hotels and Inns, Lifestyle Change, Orphans, Supernatural, Based on a Light Novel",4.0,2018.0
ID:INVADED,TV,13.0,NAZ,"Mystery, Sci Fi, Detectives, Psychological, Psychopaths, Serial Killers, Thriller, Original Work, Explicit Violence,, Mature Themes,, Suicide",,2020.0
GaoGaiGar Final,OVA,8.0,Sunrise,"Action, Adventure, Mecha, Sci Fi, Aliens, Combining Mecha, Cyborgs, Superpowers, Transforming Mecha, Original Work",,2000.0
The Prince of Tennis II,TV,13.0,M.S.C.,"Shounen, Sports, Tennis, Based on a Manga",,2012.0
Hanasaku Iroha,TV,26.0,P.A. WORKS,"Drama, Romance, Slice of Life, Coming of Age, Countryside, Coworkers, Hotels and Inns, Lifestyle Change, Work Life, Original Work, Mature Themes,, Physical Abuse,, Domestic Abuse",,2011.0
Ashita no Joe 2,TV,,TMS Entertainment,"Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga",,1980.0
Backflip!!,TV,12.0,Zexcs,"Sports, Boarding House, Gymnastics, noitaminA, School Club, School Life, Original Work",3.99,2021.0
KonoSuba – God’s blessing on this wonderful world! OVA,OVA,1.0,Studio DEEN,"Comedy, Ecchi, Fantasy, Gag, Gods, Isekai, Magic, NEET, Non-Human Protagonists, Parody, Person in a Strange World, RPG, Based on a Light Novel",3.99,2016.0
One Piece: Episode of Luffy - Hand Island no Bouken,TV Sp,,Toei Animation,"Action, Adventure, Fantasy, Shounen, Island, Pirates, Superpowers, Based on a Manga",3.99,2012.0
Wu Geng Ji 2nd Season,Web,42.0,Sparkly Key Animation Studio,"Action, Fantasy, Ancient China, Chinese Animation, Based on a Manga, CG Animation",3.99,2017.0
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,Movie,,SILVER LINK.,"Action, Fantasy, Shounen, Contemporary Fantasy, Magic, Superpowers, Urban Fantasy, Based on a Manga, Violence",3.99,2017.0
Fruits Basket,TV,26.0,Studio DEEN,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Roommates, Based on a Manga",3.99,2001.0
Dou Po Cangqiong,TV,12.0,Foch,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation",3.99,2017.0
Vampire Hunter D: Bloodlust,Movie,,MADHOUSE,"Action, Adventure, Mercenaries, Non-Human Protagonists, Post-apocalyptic, Star-Crossed Lovers, Vampires, Based on a Novel, Explicit Violence,, Nudity",3.99,2000.0
Pretty Guardian Sailor Moon Crystal (2016),TV,13.0,Toei Animation,"Action, Fantasy, Magical Girl, Romance, Shoujo, Contemporary Fantasy, Elemental Powers, Henshin Heroes, Magic, Reincarnation, Sentai, Tokusatsu, Urban Fantasy, Based on a Manga",3.99,2016.0
A Day Before Us,Web,10.0,LICO,"Romance, Korean Animation, Short Episodes, Original Work",3.99,2017.0
Bloom Into You,TV,13.0,TROYCA,"Drama, GL, Romance, Shoujo-ai, Shounen, LGBT Themes, Love Triangle, School Life, Senpai-Kouhai Relationship, Student Council, Based on a Manga",3.99,2018.0
Xingchen Bian 3rd Season,Web,12.0,Foch,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation",3.99,2021.0
91 Days,TV,12.0,Shuka,"Drama, America, Animeism, Crime, Criminals, Death of a Loved One, Gangs, Guns, Historical, Mafia, Revenge, Thriller, Original Work, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content",3.99,2016.0
Rakshasa Street,Web,24.0,L2 Studio,"Action, Chinese Animation, Supernatural, Based on a Manga",3.99,2016.0
Seitokai Yakuindomo OVA,OVA,8.0,GoHands,"Comedy, Shounen, Crude, Newly Co-ed School, Parody, School Life, Student Council, Based on a 4-Koma Manga, Based on a Manga, Sexual Content",3.99,2011.0
Detective Conan Movie 24: The Scarlet Bullet,Movie,,V1 Studio,"Mystery, Shounen, Detectives, Based on a Manga",3.99,2021.0
Drifters: Special Edition,OVA,1.0,Hoods Entertainment,"Action, Seinen, Historical, Person in a Strange World, Rebellions, Samurai, Based on a Manga, Explicit Violence",3.99,2016.0
Attack on Titan Movie 2: The Wings of Freedom,Movie,,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Recap, Based on a Manga, Cannibalism,, Violence",3.99,2015.0
City Hunter 3,TV,13.0,Sunrise,"Action, Comedy, Drama, Shounen, Episodic, Guns, Based on a Manga",3.99,1989.0
Blast of Tempest,TV,24.0,Bones,"Adventure, Drama, Mystery, Romance, Shounen, Animeism, Conspiracy, Island, Magic, Revenge, Based on a Manga",3.99,2012.0
Blue Exorcist Movie,Movie,,A-1 Pictures,"Action, Fantasy, Shounen, Contemporary Fantasy, Demons, Exorcists, Supernatural, Urban Fantasy, Based on a Manga",3.99,2012.0
Digimon Adventure Tri. Movie 3: Confession,Movie,,Toei Animation,"Action, Drama, Sci Fi, Monsters",3.99,2016.0
Seraph of the End,TV,12.0,WIT Studio,"Action, Drama, Horror, Shounen, Demons, Pandemic, Post-apocalyptic, Supernatural, Vampires, Based on a Manga, Violence",3.99,2015.0
Yuan Long,Web,16.0,CG Year,"Action, Adventure, Fantasy, Chinese Animation, Based on a Web Novel, CG Animation",3.99,2020.0
Ling Jian Zun 3rd Season,Web,40.0,Soyep,"Action, Fantasy, Ancient China, Chinese Animation, Cultivation, Short Episodes, Based on a Web Novel, CG Animation",3.99,2019.0
Hetalia: The Beautiful World,TV,20.0,Studio DEEN,"Comedy, Anthropomorphic, Chibi, Gag, Historical, Parody, Political, Satire, Short Episodes, Based on a Manga",3.99,2013.0
The Royal Tutor,TV,12.0,Bridge,"Comedy, Shounen, Chibi, Historical, Royalty, Siblings, Teaching, Tutors, Based on a Manga, Mature Themes,, Physical Abuse",3.99,2017.0
Lupin III Special 21: Lupin III vs Detective Conan,TV Sp,,TMS Entertainment,"Action, Comedy, Crossover, Detectives, Thieves, Based on a Manga",3.99,2009.0
You and Me. 2,TV,13.0,J.C.Staff,"Comedy, Shounen, Slice of Life, Childhood Friends, Iyashikei, School Life, Based on a Manga",3.99,2012.0
Hetalia: World Series,Web,48.0,Studio DEEN,"Comedy, Anthropomorphic, Chibi, Gag, Historical, Parody, Political, Satire, Short Episodes, Based on a Manga",3.99,2010.0
Persona 3 the Movie 4: Winter of Rebirth,Movie,,A-1 Pictures,"Action, Fantasy, Supernatural, Based on a Video Game",3.99,2016.0
Love Live! School Idol Project 2nd Season,TV,13.0,Sunrise,"All-Girls School, Idols, Music, School Club, School Life",3.99,2014.0
Yumeiro Pâtissière SP Professional,TV,13.0,Studio Hibari,"Fantasy, Shoujo, Baking, Culinary School, Family Friendly, Food and Beverage, School Life, Based on a Manga",3.99,2010.0
Food Wars! Shokugeki no Souma OVA,OVA,1.0,J.C.Staff,"Ecchi, Shounen, Slice of Life, Food and Beverage, Based on a Manga",3.98,2016.0
K-On! Live House!,DVD S,,Kyoto Animation,"Comedy, Seinen, Music, Based on a 4-Koma Manga, Based on a Manga",3.98,2010.0
Big Windup!,TV,25.0,A-1 Pictures,"Comedy, Drama, Seinen, Sports, Baseball, Codependency, Mental Illness, School Club, School Life, Tournaments, Based on a Manga, Bullying,, Emotional Abuse",3.98,2007.0
Cardcaptor Sakura: Clear Card Prologue - Sakura and the Two Bears,OVA,1.0,MADHOUSE,"Fantasy, Magical Girl, Henshin Heroes, Magic, Based on a Manga",3.98,2017.0
Ace of the Diamond: Second Season OVA,OVA,2.0,MADHOUSE,"Shounen, Sports, Baseball, School Club, Based on a Manga",3.98,2016.0
"Love, Chunibyo & Other Delusions!",TV,12.0,Kyoto Animation,"Comedy, Drama, Romance, School Life, Based on a Light Novel",3.98,2012.0
Interviews with Monster Girls,TV,12.0,A-1 Pictures,"Comedy, Seinen, Monster Girls, Monsters, Monster School, School Life, Supernatural, Vampires, Based on a Manga",3.98,2017.0
Thunderbolt Fantasy Movie 2: Bewitching Melody of the West,Movie,,Pili International Multimedia,"Action, Fantasy, Ancient China, Swordplay, Wuxia, Original Work, Violence",3.98,2019.0
Elfen Lied,TV,13.0,ARMS,"Seinen, Human Experimentation, Overpowered Main Characters, Psychological, Split Personality, Supernatural, Superpowers, Based on a Manga, Animal Abuse,, Emotional Abuse,, Explicit Violence,, Mature Themes,, Nudity,, Physical Abuse,, Sexual Abuse",3.98,2004.0
K-On!,TV,13.0,Kyoto Animation,"Comedy, Seinen, Slice of Life, All-Girls School, Iyashikei, Music, School Club, School Life, Based on a 4-Koma Manga, Based on a Manga",3.98,2009.0
Eureka Seven,TV,50.0,Bones,"Action, Adventure, Mecha, Romance, Sci Fi, Coming of Age, Military, Original Work, Violence",3.98,2005.0
Yaoshenji 5th Season,Web,25.0,Ruo Hong Culture,"Action, Fantasy, Chinese Animation, Cultivation, Martial Arts, Xianxia, Based on a Web Novel, CG Animation",3.98,2021.0
Knights of Sidonia: Battle for Planet Nine,TV,12.0,POLYGON PICTURES,"Action, Adventure, Horror, Mecha, Sci Fi, Seinen, Aliens, Animeism, Outer Space, Post-apocalyptic, Real Robot, Based on a Manga, CG Animation, Violence",3.98,2015.0
Golden Boy,OVA,6.0,A.P.P.P.,"Comedy, Ecchi, Seinen, Episodic, Playboys, Work Life, Based on a Manga, Explicit Sex",3.98,1995.0
Luo Xiaohei Zhan Ji,Web,28.0,,"Comedy, Fantasy, Cats, Chinese Animation, Short Episodes, Based on a Manga, Flash Animation",3.98,2011.0
Plastic Memories,TV,13.0,Doga Kobo,"Drama, Romance, Sci Fi, Androids, Non-Human Protagonists, Robots, Original Work",3.98,2015.0
ef - a tale of melodies,TV,12.0,SHAFT,"Drama, Romance, Neighbors, Based on an Eroge, Based on a Visual Novel",3.98,2008.0
Life Lessons with Uramichi Oniisan,TV,13.0,Studio Blanc.,"Comedy, Josei, Coworkers, Dark Comedy, Showbiz, Work Life, Based on a Manga",3.98,2021.0
Lupin III: Goemon's Blood Spray,Movie,,Telecom Animation Film,"Action, Comedy, Seinen, Assassins, Criminals, Noir, Thieves, Based on a Manga, Explicit Violence",3.98,2017.0
The World God Only Knows: Tenri Arc,OVA,2.0,Manglobe,"Comedy, Fantasy, Romance, Shounen, Demons, Based on a Manga",3.98,2012.0
Shakugan no Shana II,TV,24.0,J.C.Staff,"Action, Fantasy, Contemporary Fantasy, Magic, Supernatural, Tsundere, Urban Fantasy, Based on a Light Novel",3.98,2007.0
K: Missing Kings,Movie,,GoHands,"Action, Gangs, Supernatural, Superpowers, Original Work",3.98,2014.0
One Piece Special: Heart of Gold,TV Sp,,Toei Animation,"Action, Adventure, Fantasy, Shounen, Pirates, Superpowers, Based on a Manga",3.98,2016.0
K: Seven Stories Movie 5 - Memory of Red ~BURN~,Movie,,GoHands,"Drama, Gangs, Supernatural, Superpowers, Original Work",3.98,2018.0
BanG Dream! Movie: Episode of Roselia - Part II: Song I am,Movie,,SANZIGEN,"Idols, Music",3.98,2021.0
Full Metal Panic!,TV,24.0,GONZO,"Action, Comedy, Mecha, Sci Fi, Shounen, Military, Tsundere, Based on a Light Novel, Violence",3.98,2002.0
Bleach Movie 4: Hell Verse,Movie,,Pierrot,"Action, Shounen, Shinigami, Supernatural, Swordplay, Based on a Manga",3.98,2010.0
Cells at Work!,TV,13.0,David Production,"Action, Comedy, Shounen, Anthropomorphic, Educational, Episodic, Medical, Non-Human Protagonists, Based on a Manga, Violence",3.98,2018.0
Peace Sign,Music,,Bones,"Action, Superheroes, Superpowers",3.98,2017.0
The Way of the Househusband 2,Web,5.0,J.C.Staff,"Comedy, Seinen, Slice of Life, Episodic, Gangs, Lifestyle Change, Married Life, Yakuza, Based on a Manga",3.98,2021.0
ef - a tale of memories,TV,12.0,SHAFT,"Drama, Romance, Amnesia, Illness, Love Triangle, Based on an Eroge, Based on a Visual Novel, Sexual Content",3.98,2007.0
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Movie,,Artland,"Drama, Sci Fi, Military, Outer Space, Political, Space Opera, War, Based on a Novel",3.98,1988.0
Noblesse: Awakening,OVA,1.0,Production I.G,"Action, Fantasy, Shounen, Contemporary Fantasy, Non-Human Protagonists, Overpowered Main Characters, Supernatural, Urban Fantasy, Vampires, Based on a Webtoon, Explicit Violence,, Mature Themes,, Physical Abuse",3.98,2016.0
Beelzebub,TV,60.0,St. Signpost,"Action, Comedy, Shounen, Childcare, Delinquents, Demons, Master-Servant Relationship, Overpowered Main Characters, Single Parent, Superpowers, Based on a Manga",3.98,2011.0
Kyo Kara Maoh! 3rd Series,TV,39.0,Studio DEEN,"Comedy, Fantasy, Harem, Contemporary Fantasy, Demon King, Isekai, Medieval, Non-Human Protagonists, Person in a Strange World, Royalty, Based on a Light Novel",3.98,2008.0
Nodame Cantabile: Finale Special,DVD S,,J.C.Staff,"Comedy, Josei, Romance, Classical Music, Europe, Music, Based on a Manga",3.98,2010.0
Ajin: Demi-Human 2nd Season,TV,13.0,POLYGON PICTURES,"Horror, Seinen, Animeism, Human Experimentation, Supernatural, Terrorism, Based on a Manga, CG Animation, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide",3.98,2016.0
Star Blazers: Space Battleship Yamato 2202,OVA,26.0,XEBEC,"Action, Adventure, Drama, Sci Fi, Leijiverse, Outer Space, Space Opera, Original Work, Violence",3.98,2017.0
Magic Kaito 1412,TV,24.0,A-1 Pictures,"Action, Comedy, Drama, Mystery, Shounen, Secret Identity, Thieves, Based on a Manga",3.98,2014.0
IDOLiSH7: Third BEAT!,TV,13.0,TROYCA,"Drama, Idols, Music, Showbiz, Based on a Mobile Game",3.98,2021.0
Monthly Girls' Nozaki-kun Specials,DVD S,,Doga Kobo,"Comedy, Shounen, Gag, School Life, Based on a 4-Koma Manga, Based on a Manga",3.98,2014.0
Haré+Guu DELUXE,OVA,6.0,Shin-Ei Animation,"Comedy, Shounen, Slice of Life, Forest, Gag, Jungle, Overpowered Main Characters, Parody, Based on a Manga",3.98,2002.0
Saint Young Men Movie,Movie,,A-1 Pictures,"Comedy, Fantasy, Seinen, Slice of Life, Buddhism, Christianity, Contemporary Fantasy, Gag, Non-Human Protagonists, Parody, Religion, Roommates, Satire, Based on a Manga",3.98,2013.0
Dusk Maiden of Amnesia,TV,12.0,SILVER LINK.,"Mystery, Romance, Shounen, Ghosts, School Club, School Life, Supernatural, Based on a Manga, Nudity",3.98,2012.0
Eyeshield 21,TV,145.0,Gallop,"Action, Comedy, Drama, Shounen, Sports, Football, School Club, School Life, Tournaments, Based on a Manga, Mature Themes,, Physical Abuse",3.97,2005.0
Seitokai Yakuindomo Movie,Movie,,GoHands,"Comedy, Shounen, Crude, Newly Co-ed School, Parody, Satire, Student Council, Based on a 4-Koma Manga, Based on a Manga, Sexual Content",3.97,2017.0
New Game!!,TV,12.0,Doga Kobo,"Comedy, Seinen, Coworkers, Iyashikei, Video Game Industry, Work Life, Based on a 4-Koma Manga, Based on a Manga",3.97,2017.0
Taisho Otome Fairy Tale,TV,12.0,Synergy SP,"Comedy, Romance, Shounen, Slice of Life, Arranged Marriage, Countryside, Disability, Historical, Iyashikei, Opposites Attract, Sudden Girlfriend Appearance, Based on a Manga, Domestic Abuse",3.97,2021.0
Kemono Jihen,TV,12.0,Ajia-do,"Action, Drama, Mystery, Shounen, Contemporary Fantasy, Detectives, Japanese Mythology, Monsters, Non-Human Protagonists, Supernatural, Urban Fantasy, Youkai, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse",3.97,2021.0
A Certain Scientific Railgun,TV,24.0,J.C.Staff,"Action, Sci Fi, Elemental Powers, Psychic Powers, Supernatural, Superpowers, Based on a Manga",3.97,2009.0
DARLING in the FRANXX,TV,24.0,A-1 Pictures,"Action, Drama, Mecha, Romance, Sci Fi, Coming of Age, Post-apocalyptic, Robots, Original Work, Mature Themes,, Violence",3.97,2018.0
Hanasaku Iroha: Home Sweet Home,Movie,,P.A. WORKS,"Drama, Romance, Slice of Life, Coming of Age, Countryside, Hotels and Inns, Work Life, Mature Themes,, Physical Abuse",3.97,2013.0
The Seven Deadly Sins OVA,OVA,2.0,A-1 Pictures,"Action, Adventure, Fantasy, Shounen, Interspecies Relationship, Medieval, Non-Human Protagonists, Royalty, Superpowers, Based on a Manga",3.97,2015.0
Kuroko's Basketball: NG-shuu,DVD S,,Production I.G,"Comedy, Shounen, Sports, Basketball, Based on a Manga",3.97,2012.0
Kaiba,TV,12.0,MADHOUSE,"Adventure, Romance, Sci Fi, Abstract, Amnesia, Body Swapping, Dystopia, Original Work",3.97,2008.0
xxxHOLiC,TV,24.0,Production I.G,"Comedy, Seinen, Episodic, Japanese Mythology, Mysterious Shop, Supernatural, Youkai, Based on a Manga",3.97,2006.0
Wan Jie Xian Zong 2nd Season,Web,40.0,Ruo Hong Culture,"Action, Fantasy, Ancient China, Chinese Animation, Cultivation, Short Episodes, Based on a Manga, CG Animation",3.97,2019.0
Future Diary,TV,26.0,asread,"Action, Shounen, Battle Royale, High Stakes Games, Obsessive Love, Play or Die, Possessive Lovers, Psychological, PVP, Stalkers, Supernatural, Based on a Manga, Explicit Violence,, Mature Themes,, Nudity,, Sexual Abuse,, Sexual Content,, Domestic Abuse",3.97,2011.0
Super Lovers OVA,OVA,2.0,Studio DEEN,"BL, Romance, Shounen-ai, Based on a Manga",3.97,2017.0
A Lull in the Sea,TV,26.0,P.A. WORKS,"Drama, Fantasy, Romance, Coming of Age, Love Triangle, Ocean, Unrequited Love, Original Work",3.97,2013.0
Future Boy Conan,TV,26.0,Nippon Animation,"Adventure, Drama, Sci Fi, Post-apocalyptic, Based on a Novel, Mature Themes,, Physical Abuse",3.97,1978.0
Daily Lives of High School Boys Specials,DVD S,,Sunrise,"Comedy, Shounen, Slice of Life, Gag, School Life, Based on a Manga",3.97,2012.0
Heaven's Lost Property Forte,TV,12.0,AIC ASTA,"Comedy, Ecchi, Fantasy, Harem, Shounen, Angels, Chibi, Contemporary Fantasy, Panty Shots, Based on a Manga",3.97,2010.0
BanG Dream! 3rd Season,TV,13.0,SANZIGEN,"All-Girls School, Music, School Life, CG Animation, Original Work",3.97,2020.0
Pokemon XY&Z,TV,47.0,OLM,"Adventure, Fantasy, Shounen, Elemental Powers, Family Friendly, Monsters, Proxy Battles, Tournaments, Based on a Video Game",3.97,2015.0
Aria the Origination: That Secret Little Place...,DVD S,,Hal Film Maker,"Sci Fi, Shounen, Slice of Life, Ocean, Based on a Manga",3.97,2008.0
