Name,Type,Episodes,Studio,Tags,Rating,Release_year
That Time I Got Reincarnated as a Slime Season 2: Part II,TV,12.0,8-Bit,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Physical Abuse",4.45,2021.0
Heaven Official's Blessing,Web,11.0,Haoliners Animation League,"Action, BL, Comedy, Drama, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Demons, Ghosts, Gods, Heaven, Historical, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Religion, Royalty, Supernatural, Xianxia, Based on a Web Novel, Bullying,, Violence",4.45,2020.0
Ranking of Kings,TV,,WIT Studio,"Action, Adventure, Fantasy, Coming of Age, Disability, Royalty, Based on a Manga, Violence",4.45,2021.0
Mushoku Tensei: Jobless Reincarnation - Part II,TV,12.0,Studio Bind,"Action, Adventure, Drama, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Mature Themes,, Violence",4.45,2021.0
Gintama.: Shirogane no Tamashii-hen 2,TV,14.0,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2018.0
Clannad After Story,TV,24.0,Kyoto Animation,"Drama, Romance, Adult Couples, Coming of Age, Family Life, Illness, Based on a Visual Novel, Drug Use,, Mature Themes",4.44,2008.0
Mo Dao Zu Shi,Web,15.0,B.C MAY PICTURES,"Action, Adventure, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Rebellions, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence",4.44,2018.0
Gintama': Enchousen,TV,13.0,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2012.0
Banana Fish,TV,24.0,MAPPA,"Action, Drama, Shoujo, America, Criminals, Gangs, noitaminA, Based on a Manga, Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence",4.44,2018.0
Douluo Dalu 2,Web,16.0,Sparkly Key Animation Studio,"Action, Fantasy, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel, CG Animation",4.44,2018.0
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Samurai, Swordplay, Time Travel, Based on a Manga",4.44,2013.0
Gintama.,TV,12.0,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2017.0
Gintama.: Shirogane no Tamashii-hen,TV,12.0,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga",4.44,2018.0
Attack on Titan 3rd Season,TV,12.0,WIT Studio,"Action, Fantasy, Horror, Dark Fantasy, Isolated Society, Military, Outside World, Political, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.44,2018.0
Steins;Gate,TV,24.0,WHITE FOX,"Sci Fi, Conspiracy, LGBT Themes, Psychological, Thriller, Time Travel, Based on a Visual Novel, Mature Themes,, Suicide",4.44,2011.0
Haikyuu!!,TV,25.0,Production I.G,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.43,2014.0
Gintama',TV,51.0,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.43,2011.0
One-Punch Man,TV,12.0,MADHOUSE,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence",4.43,2015.0
Demon Slayer: Kimetsu no Yaiba - Mugen Train,TV,,ufotable,"Action, Drama, Fantasy, Shounen, Demons, Historical, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.43,2021.0
Gintama°,TV,51.0,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga",4.43,2015.0
Howl's Moving Castle,Movie,,Studio Ghibli,"Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel",4.43,2004.0
Natsume's Book of Friends Season 6,TV,11.0,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.43,2017.0
JoJo's Bizarre Adventure: Golden Wind,TV,39.0,David Production,"Action, Adventure, Shounen, Europe, Italy, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes",4.43,2018.0
JoJo's Bizarre Adventure: Stone Ocean,Web,12.0,David Production,"Action, Adventure, Shounen, America, Prison, Supernatural, Based on a Manga",4.42,2021.0
Vinland Saga,TV,24.0,WIT Studio,"Action, Seinen, Death of a Loved One, England, Europe, Historical, Medieval, Revenge, Swordplay, War, Weak to Strong, Based on a Manga, Violence",4.42,2019.0
Natsume's Book of Friends Season 4,TV,13.0,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.4,2012.0
